player1,point_no,win_or_not,p1_sets_leading,p1_games_leading_1,p1_score_leading_1,1_server,p1_ace,p1_winner,p1_double_fault,p1_unf_err,p1_break_pt,p1_break_pt_won,p1_break_pt_missed
Carlos Alcaraz,1,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,2,1,0,0,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,3,1,0,0,0,0,0,1,0,0,0,0,0
Carlos Alcaraz,4,0,0,0,0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,5,1,0,0,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,6,0,0,0,0.333333333,0,0,0,0,0,1,0,1
Carlos Alcaraz,7,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,8,1,0,0,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,9,0,0,0,0,0,0,0,0,1,0,0,0
Carlos Alcaraz,10,0,0,0,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,11,0,0,-0.2,0,1,0,0,0,1,0,0,0
Carlos Alcaraz,12,0,0,-0.2,-0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,13,0,0,-0.2,-0.666666667,1,0,0,0,1,0,0,0
Carlos Alcaraz,14,1,0,-0.2,-1,1,0,0,0,0,0,0,0
Carlos Alcaraz,15,1,0,-0.2,-0.666666667,1,0,1,0,0,0,0,0
Carlos Alcaraz,16,0,0,-0.2,-0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,17,0,0,-0.4,0,0,0,0,0,1,0,0,0
Carlos Alcaraz,18,1,0,-0.4,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,19,1,0,-0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,20,0,0,-0.4,0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,21,0,0,-0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,22,0,0,-0.4,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,23,0,0,-0.6,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,24,1,0,-0.6,-0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,25,0,0,-0.6,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,26,0,0,-0.6,-0.333333333,1,0,0,0,1,0,0,0
Carlos Alcaraz,27,1,0,-0.6,-0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,28,1,0,-0.6,-0.333333333,1,0,1,0,0,0,0,0
Carlos Alcaraz,29,0,0,-0.6,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,30,0,0,-0.6,-0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,31,0,0,-0.8,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,32,0,0,-0.8,-0.333333333,0,0,0,0,1,0,0,0
Carlos Alcaraz,33,1,0,-0.8,-0.666666667,0,0,1,0,0,0,0,0
Carlos Alcaraz,34,0,0,-0.8,-0.333333333,0,0,0,0,1,0,0,0
Carlos Alcaraz,35,0,0,-0.8,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,36,1,0,-1,0,1,0,1,0,0,0,0,0
Carlos Alcaraz,37,1,0,-1,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,38,0,0,-1,0.666666667,1,0,0,0,1,0,0,0
Carlos Alcaraz,39,0,0,-1,0.333333333,1,0,0,1,1,0,0,0
